title,normalized_title,status
Dawn Dispatch,DAWN DISPATCH,Approved
Delhi Bhaskar,DELHI BHASKAR,Approved
Delhi Duniya,DELHI DUNIYA,Approved
Delhi Edge Kesari,DELHI EDGE KESARI,Approved
Delhi Express,DELHI EXPRESS,Approved
Delhi Globe,DELHI GLOBE,Approved
Delhi Herald,DELHI HERALD,Approved
Delhi Link Samachar,DELHI LINK SAMACHAR,Approved
Delhi Shakti,DELHI SHAKTI,Approved
Delhi Tribune Duniya,DELHI TRIBUNE DUNIYA,Approved
Delhi Vaani,DELHI VAANI,Approved
Echo Darpan,ECHO DARPAN,Approved
Echo Duniya,ECHO DUNIYA,Approved
Echo Patrika,ECHO PATRIKA,Approved
Echo Uday,ECHO UDAY,Approved
Edge Bhaskar,EDGE BHASKAR,Approved
Express Darpan,EXPRESS DARPAN,Approved
Express Shakti,EXPRESS SHAKTI,Approved
Fortnightly Duniya,FORTNIGHTLY DUNIYA,Approved
Fortnightly Edge,FORTNIGHTLY EDGE,Approved
Fortnightly Guardian Shakti,FORTNIGHTLY GUARDIAN SHAKTI,Approved
Fortnightly Link,FORTNIGHTLY LINK,Approved
Fortnightly Prabhat,FORTNIGHTLY PRABHAT,Approved
Fortnightly Quest,FORTNIGHTLY QUEST,Approved
Fortnightly Quest Jyoti,FORTNIGHTLY QUEST JYOTI,Approved
Fortnightly Shakti,FORTNIGHTLY SHAKTI,Approved
Fortnightly Tribune,FORTNIGHTLY TRIBUNE,Approved
Global Chronicle,GLOBAL CHRONICLE,Approved
Global Darpan,GLOBAL DARPAN,Approved
Global Duniya,GLOBAL DUNIYA,Approved
Global Observer,GLOBAL OBSERVER,Approved
Global Tribune,GLOBAL TRIBUNE,Approved
Global Vani,GLOBAL VANI,Approved
Globe Gaurav,GLOBE GAURAV,Approved
Guardian Bhaskar,GUARDIAN BHASKAR,Approved
Guardian Darpan,GUARDIAN DARPAN,Approved
Guardian Gaurav,GUARDIAN GAURAV,Approved
Herald Kesari,HERALD KESARI,Approved
Herald Shakti,HERALD SHAKTI,Approved
Herald Uday,HERALD UDAY,Approved
Herald Vani,HERALD VANI,Approved
Hindustan Chronicle Jyoti,HINDUSTAN CHRONICLE JYOTI,Approved
Hindustan Express Bhaskar,HINDUSTAN EXPRESS BHASKAR,Approved
Hindustan Jyoti,HINDUSTAN JYOTI,Approved
Hindustan Mirror,HINDUSTAN MIRROR,Approved
Hindustan Mirror Samachar,HINDUSTAN MIRROR SAMACHAR,Approved
Hindustan Prabhat,HINDUSTAN PRABHAT,Approved
Hindustan Standard,HINDUSTAN STANDARD,Approved
Hindustan Times,HINDUSTAN TIMES,Approved
Hindustan Uday,HINDUSTAN UDAY,Approved
Indian Edge,INDIAN EDGE,Approved
Indian Express,INDIAN EXPRESS,Approved
Indian Globe Duniya,INDIAN GLOBE DUNIYA,Approved
Indian Herald Sandhya,INDIAN HERALD SANDHYA,Approved
Indian Shakti,INDIAN SHAKTI,Approved
Indian Times Samachar,INDIAN TIMES SAMACHAR,Approved
Kolkata Chronicle,KOLKATA CHRONICLE,Approved
Kolkata Vision Deep,KOLKATA VISION DEEP,Approved
Link Jagran,LINK JAGRAN,Approved
Link News,LINK NEWS,Approved
Mail Prabhat,MAIL PRABHAT,Approved
Mail Shakti,MAIL SHAKTI,Approved
Malayala Manorama,MALAYALA MANORAMA,Approved
Mathrubhumi,MATHRUBHUMI,Approved
Mirror Jyoti,MIRROR JYOTI,Approved
Mirror Patrika,MIRROR PATRIKA,Approved
Monthly Beacon Darpan,MONTHLY BEACON DARPAN,Approved
Monthly Chronicle,MONTHLY CHRONICLE,Approved
Monthly Observer,MONTHLY OBSERVER,Approved
Monthly Post Sandhya,MONTHLY POST SANDHYA,Approved
Monthly Shakti,MONTHLY SHAKTI,Approved
Monthly Tribune,MONTHLY TRIBUNE,Approved
Monthly Vaani,MONTHLY VAANI,Approved
Morning Herald,MORNING HERALD,Approved
Mumbai Guardian,MUMBAI GUARDIAN,Approved
Mumbai Guardian Vaani,MUMBAI GUARDIAN VAANI,Approved
Mumbai Vaani,MUMBAI VAANI,Approved
Namaskar,NAMASKAR,Approved
National Deep,NATIONAL DEEP,Approved
National Express,NATIONAL EXPRESS,Approved
National Link,NATIONAL LINK,Approved
National Mirror Duniya,NATIONAL MIRROR DUNIYA,Approved
National Observer,NATIONAL OBSERVER,Approved
National Quest Sandhya,NATIONAL QUEST SANDHYA,Approved
National Shakti,NATIONAL SHAKTI,Approved
National Uday,NATIONAL UDAY,Approved
National Vaani,NATIONAL VAANI,Approved
National Voice Uday,NATIONAL VOICE UDAY,Approved
Nav Darpan,NAV DARPAN,Approved
Nav Duniya,NAV DUNIYA,Approved
Nav Gaurav,NAV GAURAV,Approved
Nav Jyoti,NAV JYOTI,Approved
Nav Mail News,NAV MAIL NEWS,Approved
Nav Mirror,NAV MIRROR,Approved
Nav Prabhat,NAV PRABHAT,Approved
Nav Shakti,NAV SHAKTI,Approved
Nav Standard,NAV STANDARD,Approved
Nav Times,NAV TIMES,Approved
Nav Voice Prabhat,NAV VOICE PRABHAT,Approved
Observer Darpan,OBSERVER DARPAN,Approved
Observer Jyoti,OBSERVER JYOTI,Approved
Observer Vaani,OBSERVER VAANI,Approved
Post Duniya,POST DUNIYA,Approved
Post News,POST NEWS,Approved
Post Patrika,POST PATRIKA,Approved
Punjab Beacon,PUNJAB BEACON,Approved
Punjab Darpan,PUNJAB DARPAN,Approved
Punjab Herald Shakti,PUNJAB HERALD SHAKTI,Approved
Punjab Kesari,PUNJAB KESARI,Approved
Punjab Link,PUNJAB LINK,Approved
Punjab Quest Duniya,PUNJAB QUEST DUNIYA,Approved
Punjab Sandhya,PUNJAB SANDHYA,Approved
Punjab Uday,PUNJAB UDAY,Approved
Punjab Vision,PUNJAB VISION,Approved
Quest Deep,QUEST DEEP,Approved
Quest Sandhya,QUEST SANDHYA,Approved
Quest Vani,QUEST VANI,Approved
Samachar Darpan,SAMACHAR DARPAN,Approved
Samachar Echo,SAMACHAR ECHO,Approved
Samachar Herald Darpan,SAMACHAR HERALD DARPAN,Approved
Samachar Jagran,SAMACHAR JAGRAN,Approved
Samachar Mail Vaani,SAMACHAR MAIL VAANI,Approved
Samachar Post,SAMACHAR POST,Approved
Standard Vani,STANDARD VANI,Approved
Sunrise Chronicle,SUNRISE CHRONICLE,Approved
The Express,THE EXPRESS,Approved
The Herald,THE HERALD,Approved
The Hindu,THE HINDU,Approved
The Post,THE POST,Approved
The Prabhat,THE PRABHAT,Approved
The Quest Jyoti,THE QUEST JYOTI,Approved
The Statesman,THE STATESMAN,Approved
The Telegraph,THE TELEGRAPH,Approved
The Times of India,THE TIMES OF INDIA,Approved
The Tribune Vaani,THE TRIBUNE VAANI,Approved
The Voice,THE VOICE,Approved
Times Jagran,TIMES JAGRAN,Approved
Times Jyoti,TIMES JYOTI,Approved
Times Sandhya,TIMES SANDHYA,Approved
Times Uday,TIMES UDAY,Approved
Vishwa Beacon,VISHWA BEACON,Approved
Vishwa Chronicle,VISHWA CHRONICLE,Approved
Vishwa Jyoti,VISHWA JYOTI,Approved
Vishwa Link,VISHWA LINK,Approved
Vishwa Patrika,VISHWA PATRIKA,Approved
Vishwa Samachar,VISHWA SAMACHAR,Approved
Vishwa Tribune Uday,VISHWA TRIBUNE UDAY,Approved
Vishwa Tribune Vaani,VISHWA TRIBUNE VAANI,Approved
Vision Uday,VISION UDAY,Approved
Voice Prabhat,VOICE PRABHAT,Approved
Weekly Chronicle Patrika,WEEKLY CHRONICLE PATRIKA,Approved
Weekly Guardian News,WEEKLY GUARDIAN NEWS,Approved
Weekly Guardian Shakti,WEEKLY GUARDIAN SHAKTI,Approved
Weekly Kesari,WEEKLY KESARI,Approved
Weekly Quest Vaani,WEEKLY QUEST VAANI,Approved
Weekly Tribune,WEEKLY TRIBUNE,Approved
Weekly Vision Deep,WEEKLY VISION DEEP,Approved
